cct,nombre,cv_estatus,estatus,nivel1,nivel2,sostenimiento,municipio
26FUA5227A,UNIDAD DE SERVICIOS DE APOYO A LA EDUCACION REGULAR NUM. 227,1,ACTIVO,USAER,USAER,,MAZATÃN
26FUA5267B,UNIDAD DE SERVICIOS DE APOYO A LA EDUCACION REGULAR NUM. 267,1,ACTIVO,USAER,USAER,,HERMOSILLO
26FIZ0055E,INSPECCION ESCOLAR NUM. 55,1,ACTIVO,,,,BENITO JUÃREZ
26FIZ0092I,INSPECCION ESCOLAR NUM. 92,1,ACTIVO,,,,BÃCUM
26FUA0004K,UNIDAD DE SERVICIOS DE APOYO A LA EDUCACION REGULAR NUM. 4,1,ACTIVO,USAER,USAER,,SANTA ANA
26FUA0014R,UNIDAD DE SERVICIOS DE APOYO A LA EDUCACION REGULAR NUM. 14,1,ACTIVO,USAER,USAER,,SAN MIGUEL DE HORCASITAS
26FUA0037B,UNIDAD DE SERVICIOS DE APOYO A LA EDUCACION REGULAR NUM. 37,1,ACTIVO,USAER,USAER,,HERMOSILLO
26FUA0108F,UNIDAD DE SERVICIOS DE APOYO A LA EDUCACION REGULAR NUM. 108,1,ACTIVO,USAER,USAER,,CAJEME
26FUA0132F,UNIDAD DE SERVICIOS DE APOYO A LA EDUCACION REGULAR NUM. 132,1,ACTIVO,USAER,USAER,,GUAYMAS
26KJN0056Z,PREESCOLAR COMUNITARIO,1,ACTIVO,PREESCOLAR,COMUNITARIO,NO ESPECIFICADO,CANANEA
26KJN0426B,CURSO COMUNITARIO,0,INACTIVO,PREESCOLAR,COMUNITARIO,NO ESPECIFICADO,HERMOSILLO
26KJN0522E,PREESCOLAR COMUNITARIO,1,ACTIVO,PREESCOLAR,COMUNITARIO,NO ESPECIFICADO,CABORCA
26DPR1407A,BENEMERITO DE LAS AMERICAS,1,ACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,SAN MIGUEL DE HORCASITAS
26DPR1438U,FRANCISCO CASTILLO BLANCO,1,ACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,HERMOSILLO
26KJN0572M,PREESCOLAR COMUNITARIO,1,ACTIVO,PREESCOLAR,COMUNITARIO,NO ESPECIFICADO,SAHUARIPA
26KNM0039G,JARDIN DE NIÂ¥OS,0,INACTIVO,PREESCOLAR,COMUNITARIO,NO ESPECIFICADO,HERMOSILLO
26KNP0047M,ESCUELA PRIMARIA,1,ACTIVO,PRIMARIA,COMUNITARIO,NO ESPECIFICADO,HERMOSILLO
26FIC0305J,CENTRO DE APOYO A LA EDUCACIÃN INICIAL DEL CONAFE RAHUM 2,0,INACTIVO,,,,GUAYMAS
26DST0068X,JUAN AVILA CORDOVA,1,ACTIVO,SECUNDARIA,TÃCNICA,NO ESPECIFICADO,AGUA PRIETA
26EJN0080P,CAPERUCITA ROJA,0,INACTIVO,PREESCOLAR,GENERAL,NO ESPECIFICADO,YÃCORA
26KNM0052A,JARDIN DE NIÂ¥OS,0,INACTIVO,PREESCOLAR,COMUNITARIO,NO ESPECIFICADO,CARBÃ
26FUA5269Z,UNIDAD DE SERVICIOS DE APOYO A LA EDUCACION REGULAR NUM. 269,1,ACTIVO,USAER,USAER,,SANTA ANA
26FZF0005Z,SUPERVISION DE EDUCACION FISICA NORTE NUM. 1,1,ACTIVO,,,,NOGALES
26FZP0027S,SUPERVISION ESCOALR DE EDUCACION PREESCOLAR N0 27,1,ACTIVO,,,,MOCTEZUMA
26FZP0049D,ZONA ESCOLAR PREESCOLAR NUM. 49,1,ACTIVO,,,,NOGALES
26HBR0005T,BRIGADA DE EDUCACION PARA EL DESARROLLO RURAL NUM. 88,1,ACTIVO,,,,GUAYMAS
26KJN0757S,PREESCOLAR COMUNITARIO,0,INACTIVO,PREESCOLAR,COMUNITARIO,NO ESPECIFICADO,HERMOSILLO
26EJN0038Z,CENTRO DE ATENCION PRESCOLAR,0,INACTIVO,PREESCOLAR,GENERAL,NO ESPECIFICADO,HERMOSILLO
26FIS0011Y,SUPERVISION ESCOLAR NUM. 11 DE SECUNDARIA GENERAL,1,ACTIVO,,,,CAJEME
26KJN0229A,CURSO COMUNITARIO,0,INACTIVO,PREESCOLAR,COMUNITARIO,NO ESPECIFICADO,SAHUARIPA
26FUA5273M,UNIDAD DE SERVICIOS DE APOYO A LA EDUCACION REGULAR NUM. 273,1,ACTIVO,USAER,USAER,,TEPACHE
26FUA0147H,UNIDAD DE SERVICIOS DE APOYO A LA EDUCACION REGULAR NUM. 147,1,ACTIVO,USAER,USAER,,EMPALME
26FUA0155Q,UNIDAD DE SERVICIOS DE APOYO A LA EDUCACION REGULAR NUM. 155,1,ACTIVO,USAER,USAER,,LA COLORADA
26FUA0160B,UNIDAD DE SERVICIOS DE APOYO A LA EDUCACION REGULAR NUM. 160,1,ACTIVO,USAER,USAER,,ÃLAMOS
26FUA0161A,UNIDAD DE SERVICIOS DE APOYO A LA EDUCACION REGULAR NUM. 161,1,ACTIVO,USAER,USAER,,NOGALES
26FUA5233L,UNIDAD DE SERVICIOS DE APOYO A LA EDUCACION REGULAR NUM. 233,1,ACTIVO,USAER,USAER,,GUAYMAS
26FUA5251A,UNIDAD DE SERVICIOS DE APOYO A LA EDUCACION REGULAR NUM. 251,1,ACTIVO,USAER,USAER,,HERMOSILLO
26FUA5242T,UNIDAD DE SERVICIOS DE APOYO A LA EDUCACION REGULAR NUM. 242,1,ACTIVO,USAER,USAER,,NAVOJOA
26FZF0018D,SUPERVISION DE EDUCACION FISICA SUR NUM. 4,1,ACTIVO,,,,CAJEME
26FZP0002J,ZONA ESCOLAR PREESCOLAR NUM. 2,1,ACTIVO,,,,MAGDALENA
26FZP0017L,ZONA ESCOLAR PREESCOLAR NUM. 17,1,ACTIVO,,,,HERMOSILLO
26FZP0038Y,ZONA ESCOLAR PREESCOLAR NUM. 38,1,ACTIVO,,,,EMPALME
26FZP0048E,ZONA ESCOLAR PREESCOLAR NUM. 48,1,ACTIVO,,,,NOGALES
26KPR0282M,CURSO COMUNITARIO,0,INACTIVO,PRIMARIA,COMUNITARIO,NO ESPECIFICADO,GUAYMAS
26KCC0021V,PREESCOLAR COMUNITARIO INDIGENA,0,INACTIVO,PREESCOLAR,COMUNITARIO,NO ESPECIFICADO,GUAYMAS
26FUA5225C,UNIDAD DE SERVICIOS DE APOYO A LA EDUCACION REGULAR NUM. 225,1,ACTIVO,USAER,USAER,,NOGALES
26FZF0028K,SUPERVISION DE EDUCACION FISICA CENTRO NUM. 8,1,ACTIVO,,,,HERMOSILLO
26FZF0029J,SUPERVISION DE EDUCACION FISICA SUR NUM. 3,1,ACTIVO,,,,GUAYMAS
26FZP5012Y,INSPECCION DE PREESCOLAR ESTATAL NUM. 12,1,ACTIVO,,,,HERMOSILLO
26KJN0008Q,PREESCOLAR COMUNITARIO,0,INACTIVO,PREESCOLAR,COMUNITARIO,NO ESPECIFICADO,ÃLAMOS
26KJN0335K,PREESCOLAR COMUNITARIO,1,ACTIVO,PREESCOLAR,COMUNITARIO,NO ESPECIFICADO,HUATABAMPO
26KJN0439F,PREESCOLAR COMUNITARIO,1,ACTIVO,PREESCOLAR,COMUNITARIO,NO ESPECIFICADO,SANTA ANA
26FIZ0095F,INSPECCION ESCOLAR NUM. 95,1,ACTIVO,,,,HERMOSILLO
26EJN0203I,ALICIA CANO CANO,1,ACTIVO,PREESCOLAR,GENERAL,NO ESPECIFICADO,HERMOSILLO
26KCC0036X,PREESCOLAR COMUNITARIO INDIGENA,0,INACTIVO,PREESCOLAR,COMUNITARIO,NO ESPECIFICADO,ÃLAMOS
26FZF0035U,SUPERVISION DE EDUCACION FISICA NUM. 35,1,ACTIVO,,,,HERMOSILLO
26KJN0036M,PREESCOLAR COMUNITARIO,1,ACTIVO,PREESCOLAR,COMUNITARIO,NO ESPECIFICADO,BAVIÃCORA
26KJN0208O,PREESCOLAR COMUNITARIO,1,ACTIVO,PREESCOLAR,COMUNITARIO,NO ESPECIFICADO,HUATABAMPO
26KJN0807J,PREESCOLAR COMUNITARIO,0,INACTIVO,PREESCOLAR,COMUNITARIO,NO ESPECIFICADO,ACONCHI
26KJN0799R,PREESCOLAR COMUNITARIO,0,INACTIVO,PREESCOLAR,COMUNITARIO,NO ESPECIFICADO,NAVOJOA
26KJN0794W,PREESCOLAR COMUNITARIO,0,INACTIVO,PREESCOLAR,COMUNITARIO,NO ESPECIFICADO,TRINCHERAS
26FUA0016P,UNIDAD DE SERVICIOS DE APOYO A LA EDUCACION REGULAR NUM. 16,1,ACTIVO,USAER,USAER,,NAVOJOA
26FUA0093U,UNIDAD DE SERVICIOS DE APOYO A LA EDUCACION REGULAR NUM. 93,1,ACTIVO,USAER,USAER,,CAJEME
26KJN0485R,PREESCOLAR COMUNITARIO,0,INACTIVO,PREESCOLAR,COMUNITARIO,NO ESPECIFICADO,ETCHOJOA
26FFS5040D,CENTRO DE EDUCACION FISICA,1,ACTIVO,,,,HERMOSILLO
26FIS5016A,INSPECCION DE SECUNDARIA ESTATAL NUM. 16,1,ACTIVO,,,,ETCHOJOA
26FIZ0070X,INSPECCION ESCOLAR NUM. 70,1,ACTIVO,,,,NOGALES
26EBT0151V,C D C NUM. 4,0,INACTIVO,FORMACIÃN PARA EL TRABAJO,FORMACIÃN PARA EL TRABAJO,NO ESPECIFICADO,CAJEME
26FIZ0078P,INSPECCION ESCOLAR NUM. 78,1,ACTIVO,,,,HERMOSILLO
26FMB0009W,CENTRO DE MAESTROS DE HERMOSILLO SUR,1,ACTIVO,,,,HERMOSILLO
26FIZ0002Z,INSPECCION ESCOLAR NUM. 2,1,ACTIVO,,,,NOGALES
26FJZ0001Q,JEFATURA DE SECTOR 1 DE EDUCACION PRESCOLAR,1,ACTIVO,,,,HERMOSILLO
26FUA0114Q,UNIDAD DE SERVICIOS DE APOYO A LA EDUCACION REGULAR NUM. 114,1,ACTIVO,USAER,USAER,,PUERTO PEÃASCO
26FUA0163Z,UNIDAD DE SERVICIOS DE APOYO A LA EDUCACION REGULAR NUM. 163,1,ACTIVO,USAER,USAER,,HERMOSILLO
26FUA5201T,UNIDAD DE SERVICIOS DE APOYO A LA EDUCACION REGULAR NUM. 201,1,ACTIVO,USAER,USAER,,HERMOSILLO
26FUA5221G,UNIDAD DE SERVICIOS DE APOYO A LA EDUCACION REGULAR NUM. 221,1,ACTIVO,USAER,USAER,,HERMOSILLO
26FZF5020Z,SUPERVISION CABORCA II,1,ACTIVO,,,,CABORCA
26FUA5277I,UNIDAD DE SERVICIOS DE APOYO A LA EDUCACION REGULAR NUM. 277,1,ACTIVO,USAER,USAER,,PUERTO PEÃASCO
26KJN0942O,PREESCOLAR COMUNITARIO,1,ACTIVO,PREESCOLAR,COMUNITARIO,NO ESPECIFICADO,NAVOJOA
26KPR0778V,CURSO COMUNITARIO,1,ACTIVO,PRIMARIA,COMUNITARIO,NO ESPECIFICADO,SAN IGNACIO RÃO MUERTO
26MSU0025F,INSTITUTO PEDAGOGICO DE POSGRADO EN SONORA A. C.,1,ACTIVO,,,,HERMOSILLO
26BBS0062P,BIBLIOTECA & LEARNING COMMONS,1,ACTIVO,,,,HERMOSILLO
26FEI0376B,MODULO DE EDUCACIÃN INICIAL NO ESCOLARIZADA ANTORCHA CAMPESINA,1,ACTIVO,INICIAL,INICIAL NO ESCOLARIZADA,NO ESPECIFICADO,HERMOSILLO
26DIN0046U,URSULO ONTIVEROS YOCUPICIO,1,ACTIVO,INICIAL,INICIAL INDÃGENA,NO ESPECIFICADO,HUATABAMPO
26FEI0446G,MODULO DE EDUCACIÃN INICIAL NO ESCOLARIZADA LA ALMITA,1,ACTIVO,INICIAL,INICIAL NO ESCOLARIZADA,NO ESPECIFICADO,CABORCA
26DIN0052E,ORQUIDEA,1,ACTIVO,INICIAL,INICIAL INDÃGENA,NO ESPECIFICADO,NAVOJOA
26DJN0098P,MIGUEL CAJEN HIGUERA,1,ACTIVO,PREESCOLAR,GENERAL,NO ESPECIFICADO,CAJEME
26KJN0785O,PREESCOLAR COMUNITARIO,0,INACTIVO,PREESCOLAR,COMUNITARIO,NO ESPECIFICADO,HERMOSILLO
26KJN0257X,LA ROSITA,0,INACTIVO,PREESCOLAR,COMUNITARIO,NO ESPECIFICADO,HERMOSILLO
26KJN0232O,PREESCOLAR COMUNITARIO,0,INACTIVO,PREESCOLAR,COMUNITARIO,NO ESPECIFICADO,HERMOSILLO
26FUA0007H,UNIDAD DE SERVICIOS DE APOYO A LA EDUCACION REGULAR NUM. 7,1,ACTIVO,USAER,USAER,,SAN LUIS RÃO COLORADO
26FUA0022Z,UNIDAD DE SERVICIOS DE APOYO A LA EDUCACION REGULAR NUM. 22,1,ACTIVO,USAER,USAER,,ETCHOJOA
26FUA0041O,UNIDAD DE SERVICIOS DE APOYO A LA EDUCACION REGULAR NUM. 41,1,ACTIVO,USAER,USAER,,AGUA PRIETA
26FUA5229Z,UNIDAD DE SERVICIOS DE APOYO A LA EDUCACION REGULAR NUM. 229,1,ACTIVO,USAER,USAER,,HERMOSILLO
26FZE0001E,SUPERVISION DE CEBA ZONA NUM. 1,1,ACTIVO,,,,HERMOSILLO
26FZF0004A,SUPERVISION DE EDUCACION FISICA NOROESTE NUM. 1,1,ACTIVO,,,,CABORCA
26FZF0009W,SUPERVISION DE EDUCACION FISICA NORTE NUM. 5,1,ACTIVO,,,,MAGDALENA
26FIZ0025K,INSPECCION ESCOLAR NUM. 25,1,ACTIVO,,,,ETCHOJOA
26FIZ0035R,INSPECCION ESCOLAR NUM. 35,1,ACTIVO,,,,HERMOSILLO
26FIZ0064M,INSPECCION ESCOLAR NUM. 64,1,ACTIVO,,,,SAN LUIS RÃO COLORADO
26FIZ0068I,INSPECCION ESCOLAR NUM. 68,1,ACTIVO,,,,HERMOSILLO
26FIZ0085Z,INSPECCION ESCOLAR NUM. 85,1,ACTIVO,,,,SANTA ANA
26FIZ0087X,INSPECCION ESCOLAR NUM. 87,1,ACTIVO,,,,ÃLAMOS
26PSU0038G,UNIVERSIDAD DEL DESARROLLO PROFESIONAL EXTENSION MIRAMAR,1,ACTIVO,SUPERIOR,LICENCIATURA Y POSGRADO,NO ESPECIFICADO,GUAYMAS
26NJN0003S,ESTANCIA PARA EL BIENESTAR Y DESARROLLO INFANTIL 131 ESTEFANIA CASTAÃEDA,1,ACTIVO,PREESCOLAR,GENERAL,NO ESPECIFICADO,NAVOJOA
26PPR0286D,COLEGIO CONCORDIA,1,ACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,HERMOSILLO
26FUA0096R,UNIDAD DE SERVICIOS DE APOYO A LA EDUCACION REGULAR NUM. 96,1,ACTIVO,USAER,USAER,,PITIQUITO
26DPR0710E,EJIDO DE VILLA DE SERIS,1,ACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,HERMOSILLO
26DCC0015A,EL NOPAL,1,ACTIVO,PREESCOLAR,INDÃGENA,NO ESPECIFICADO,HUATABAMPO
26PBH0030U,COLEGIO ARCE,1,ACTIVO,MEDIA SUPERIOR,BACHILLERATO GENERAL,NO ESPECIFICADO,HERMOSILLO
26KJN0802O,PREESCOLAR COMUNITARIO,0,INACTIVO,PREESCOLAR,COMUNITARIO,NO ESPECIFICADO,PITIQUITO
26KJN0750Z,PREESCOLAR COMUNITARIO,0,INACTIVO,PREESCOLAR,COMUNITARIO,NO ESPECIFICADO,ROSARIO
26KJN0241W,PREESCOLAR COMUNITARIO,0,INACTIVO,PREESCOLAR,COMUNITARIO,NO ESPECIFICADO,HUATABAMPO
26PPR0070E,INSTITUTO DEL VALLE,0,INACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,CAJEME
26KPR0430E,CURSO COMUNITARIO,0,INACTIVO,PRIMARIA,COMUNITARIO,NO ESPECIFICADO,GUAYMAS
26DPR1319G,JOSE MARIA YANEZ,1,ACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,EMPALME
26FZF0016F,SUPERVISION DE EDUCACION FISICA SUR NUM. 2,1,ACTIVO,,,,CAJEME
26FZF0033W,SUPERVISION DE EDUCACION FISICA,1,ACTIVO,,,,HERMOSILLO
26FZF5012R,SUPERVISION DE EDUCACION FISICA ESTATAL,1,ACTIVO,,,,NAVOJOA
26FZP0006F,ZONA ESCOLAR PREESCOLAR NUM. 6,1,ACTIVO,,,NO ESPECIFICADO,GUAYMAS
26FZP0018K,ZONA ESCOLAR PREESCOLAR NUM. 18,1,ACTIVO,,,,HERMOSILLO
26KJN0033P,PREESCOLAR COMUNITARIO,1,ACTIVO,PREESCOLAR,COMUNITARIO,NO ESPECIFICADO,BÃCUM
26PBH0171T,ESCUELA PREPARATORIA SAN JUAN BAUTISTA DE LA SALLE,1,ACTIVO,MEDIA SUPERIOR,BACHILLERATO GENERAL,NO ESPECIFICADO,HERMOSILLO
26MSU0043V,CIMA COLEGIO AMERICANO,0,INACTIVO,,,,PUERTO PEÃASCO
26PCB0082E,PREPARATORIA LIDHÃ S. C.,1,ACTIVO,MEDIA SUPERIOR,BACHILLERATO GENERAL,NO ESPECIFICADO,CANANEA
26FUA0003L,UNIDAD DE SERVICIOS DE APOYO A LA EDUCACION REGULAR NUM. 3,1,ACTIVO,USAER,USAER,,NOGALES
26KCC0026Q,PREESCOLAR COMUNITARIO INDIGENA,1,ACTIVO,PREESCOLAR,COMUNITARIO,NO ESPECIFICADO,GUAYMAS
26KJN0917P,PREESCOLAR COMUNITARIO,1,ACTIVO,PREESCOLAR,COMUNITARIO,NO ESPECIFICADO,HUATABAMPO
26KJN0857R,PREESCOLAR COMUNITARIO,1,ACTIVO,PREESCOLAR,COMUNITARIO,NO ESPECIFICADO,OPODEPE
26KJN0896T,PREESCOLAR COMUNITARIO,0,INACTIVO,PREESCOLAR,COMUNITARIO,NO ESPECIFICADO,URES
26DPB0124M,13 DE SEPTIEMBRE,1,ACTIVO,PRIMARIA,INDÃGENA,NO ESPECIFICADO,ETCHOJOA
26MMS0389E,INSTITUTO CEUNO PUERTO PEÃASCO,1,ACTIVO,,,,PUERTO PEÃASCO
26KPR0049G,CURSO COMUNITARIO,0,INACTIVO,PRIMARIA,COMUNITARIO,NO ESPECIFICADO,CAJEME
26MMS0407D,COLEGIO GUADALUPANO DE BACHILLERATO,1,ACTIVO,,,,NAVOJOA
26FUA0088I,UNIDAD DE SERVICIOS DE APOYO A LA EDUCACION REGULAR NUM. 88,1,ACTIVO,USAER,USAER,,BENITO JUÃREZ
26MMS0383K,BEAUTE LE INSTITUTE,1,ACTIVO,,,,NOGALES
26KJN0287R,PREESCOLAR COMUNITARIO,0,INACTIVO,PREESCOLAR,COMUNITARIO,NO ESPECIFICADO,TUBUTAMA
26DER0004V,CENTRO DE ATENCION PARA ESTUDIANTES CON DISCAPACIDAD S.L.R.C.,1,ACTIVO,MEDIA SUPERIOR,BACHILLERATO GENERAL,NO ESPECIFICADO,SAN LUIS RÃO COLORADO
26DIN0085W,ARCO IRIS,1,ACTIVO,INICIAL,INICIAL INDÃGENA,NO ESPECIFICADO,NAVOJOA
26DIN0108Q,EDUCACION INICIAL NO ESCOLARIZADO NUEVA CREACION,1,ACTIVO,INICIAL,INICIAL INDÃGENA,NO ESPECIFICADO,ETCHOJOA
26DJN0222Y,JOAQUIN ANTONIO ROSSINI,1,ACTIVO,PREESCOLAR,GENERAL,NO ESPECIFICADO,CAJEME
26DJN0281N,EDMUNDO DE AMICIS,1,ACTIVO,PREESCOLAR,GENERAL,NO ESPECIFICADO,NAVOJOA
26KJN0556V,PREESCOLAR COMUNITARIO,0,INACTIVO,PREESCOLAR,COMUNITARIO,NO ESPECIFICADO,SÃRIC
26KNP0014V,ESCUELA PRIMARIA,0,INACTIVO,PRIMARIA,COMUNITARIO,NO ESPECIFICADO,HERMOSILLO
26FEI0430F,MODULO DE EDUCACIÃN INICIAL NO ESCOLARIZADA TAJIMAROA,1,ACTIVO,INICIAL,INICIAL NO ESCOLARIZADA,NO ESPECIFICADO,CAJEME
26KJN0507M,PREESCOLAR COMUNITARIO,0,INACTIVO,PREESCOLAR,COMUNITARIO,NO ESPECIFICADO,CABORCA
26BBE3500P,BIBLIOTECA PROF. LUIS MANRIQUE ALVAREZ,1,ACTIVO,,,,GUAYMAS
26PJN0114V,MIS PRIMEROS PASOS,0,INACTIVO,PREESCOLAR,GENERAL,NO ESPECIFICADO,HERMOSILLO
26DCC0161L,EL TRIGUITO,0,INACTIVO,PREESCOLAR,INDÃGENA,NO ESPECIFICADO,ETCHOJOA
26EJN0187H,AXAYACATL,0,INACTIVO,PREESCOLAR,GENERAL,NO ESPECIFICADO,NOGALES
26DJN0292T,HEROES DE CABORCA,1,ACTIVO,PREESCOLAR,GENERAL,NO ESPECIFICADO,CABORCA
26DPR1037Z,CARMEN RAMIREZ ARMENTA,1,ACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,HERMOSILLO
26FUA0175D,UNIDAD DE SERVICIOS DE APOYO A LA EDUCACIÃN REGULAR NUM. 175,1,ACTIVO,USAER,USAER,,URES
26DNM0036Z,NUEVA CREACION PREESCOLAR NIÃOS MIGRANTES,0,INACTIVO,PREESCOLAR,GENERAL,NO ESPECIFICADO,PITIQUITO
26PPR0033A,COLEGIO HERMENEGILDO GALEANA,0,INACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,CAJEME
26KJN0628Y,PREESCOLAR COMUNITARIO,0,INACTIVO,PREESCOLAR,COMUNITARIO,NO ESPECIFICADO,NAVOJOA
26USU4241E,INSTITUTO TECNOLOGICO DE SONORA UNID NAVOJOA (POSGRADO),0,INACTIVO,SUPERIOR,LICENCIATURA Y POSGRADO,NO ESPECIFICADO,NAVOJOA
26ETV0246W,TELESECUNDARIA 246,1,ACTIVO,SECUNDARIA,TELESECUNDARIA,NO ESPECIFICADO,NAVOJOA
26DPR0147Y,VICENTE GUERRERO,1,ACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,NAVOJOA
26DPR0346X,PROFA. EVA S DE LOPEZ MATEOS,1,ACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,SAN LUIS RÃO COLORADO
26DPR0777M,LUZ CEBALLOS DE IBARRA,1,ACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,HUATABAMPO
26PBH0005V,UNIVERSITARIA KINO,1,ACTIVO,MEDIA SUPERIOR,BACHILLERATO GENERAL,NO ESPECIFICADO,HERMOSILLO
26KJN0452Z,PREESCOLAR COMUNITARIO,1,ACTIVO,PREESCOLAR,COMUNITARIO,NO ESPECIFICADO,CAJEME
26PBT1239L,ACADEMIA DE BELLEZA RICHARD'S,0,INACTIVO,FORMACIÃN PARA EL TRABAJO,FORMACIÃN PARA EL TRABAJO,NO ESPECIFICADO,HERMOSILLO
26PPR0026R,PRESTON ELEMENTARY SCHOOL,1,ACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,HERMOSILLO
26PPR0079W,CENTRO DE APOYO PSICOPEDAGÃGICO,1,ACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,HERMOSILLO
26FEI0105J,EDUCACION INICIAL COMUNITARIA,0,INACTIVO,INICIAL,INICIAL NO ESCOLARIZADA,NO ESPECIFICADO,NAVOJOA
26KJN0538F,PREESCOLAR COMUNITARIO,0,INACTIVO,PREESCOLAR,COMUNITARIO,NO ESPECIFICADO,SANTA ANA
26DPR1059K,20 DE NOVIEMBRE,0,INACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,CAJEME
26PES0044Z,COLEGIO OBREGON,1,ACTIVO,SECUNDARIA,GENERAL,NO ESPECIFICADO,CAJEME
26DST0002O,JUAN RIVERA ARMENTA,1,ACTIVO,SECUNDARIA,TÃCNICA,NO ESPECIFICADO,CAJEME
26BBS0098D,BIBLIOTECA DEL POSTGRADO MAESTRIA EN ADMINISTRACION UNI-SON,1,ACTIVO,,,,HERMOSILLO
26EPR0361O,ADELINA RAMIREZ YANEZ,1,ACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,HERMOSILLO
26ETC0003L,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS UNIDAD EJIDO 24 DE FEB HUATABAMPO,1,ACTIVO,MEDIA SUPERIOR,TECNOLÃGICO,NO ESPECIFICADO,HUATABAMPO
26USU9993L,DEPARTAMENTO DE CIENCIAS AGRONOMICAS Y VETERINARIAS,1,ACTIVO,SUPERIOR,LICENCIATURA Y POSGRADO,NO ESPECIFICADO,CAJEME
26ETV0202Z,TELESECUNDARIA 202,1,ACTIVO,SECUNDARIA,TELESECUNDARIA,NO ESPECIFICADO,NAVOJOA
26PET0075I,INSTITUTO COMERCIAL ESPINOZA,0,INACTIVO,MEDIA SUPERIOR,PROFESIONAL TÃCNICO,NO ESPECIFICADO,CAJEME
26BBE3496T,BIBLIOTECA PROF. ALVARO OBREGON SALIDO,1,ACTIVO,,,,HUATABAMPO
26KPR0055R,CURSO COMUNITARIO,0,INACTIVO,PRIMARIA,COMUNITARIO,NO ESPECIFICADO,CAJEME
26DPR0930Q,JACINTO CANEK,1,ACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,NAVOJOA
26DPR0799Y,ALFONSO ATONDO GARCIA,1,ACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,CANANEA
26DPR0815Z,IGNACIO ZARAGOZA,1,ACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,ÃLAMOS
26KJN0086U,PREESCOLAR COMUNITARIO,1,ACTIVO,PREESCOLAR,COMUNITARIO,NO ESPECIFICADO,SAN IGNACIO RÃO MUERTO
26PPR0110P,MONSEÃOR MARIANO HURTADO GUERRERO,1,ACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,HERMOSILLO
26ETV0287W,TELESECUNDARIA 287,1,ACTIVO,SECUNDARIA,TELESECUNDARIA,NO ESPECIFICADO,GUAYMAS
26DDI0003P,CENTRO DE ATENCION INFANTIL NUM. 3 S.E.C.,1,ACTIVO,INICIAL,LACTANTE Y MATERNAL,NO ESPECIFICADO,CAJEME
26DPR1029Q,FELIPE CARRILLO PUERTO,0,INACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,GUAYMAS
26PJN0592V,INSTITUTO LEFIER NAINARI,1,ACTIVO,PREESCOLAR,GENERAL,NO ESPECIFICADO,CAJEME
26DPR1120Y,6 DE ABRIL,1,ACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,HERMOSILLO
26EPR0272V,ESCUELA PRIMARIA NUEVA CREACION,0,INACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,TEPACHE
26KPR0615K,CURSO COMUNITARIO,0,INACTIVO,PRIMARIA,COMUNITARIO,NO ESPECIFICADO,ÃLAMOS
26DPR0236R,FRANCISCO I. MADERO,1,ACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,URES
26DPR0135T,DANIEL DELGADILLO,1,ACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,NAVOJOA
26DPB0053I,ALVARO OBREGON,0,INACTIVO,PRIMARIA,INDÃGENA,NO ESPECIFICADO,HUATABAMPO
26KJN0324E,CURSO COMUNITARIO,0,INACTIVO,PREESCOLAR,COMUNITARIO,NO ESPECIFICADO,NAVOJOA
26DER0003W,CENTRO DE ATENCION PARA ESTUDIANTES CON DISCAPACIDAD NOGALES,1,ACTIVO,MEDIA SUPERIOR,BACHILLERATO GENERAL,NO ESPECIFICADO,NOGALES
26USU1963P,DEPARTAMENTO DE CIENCIAS QUÃMICO-BIOLÃGICAS Y AGROPECUARIAS UNIVERSIDAD DE SONORA CAMPUS CABORCA,1,ACTIVO,SUPERIOR,LICENCIATURA Y POSGRADO,NO ESPECIFICADO,CABORCA
