entidad,n_entidad,municipio,n_municipi,localidad,n_localidad,domicilio,clavecct,n_cct,turno,n_turno,tipo,nivel,subnivel,c_caracterizan2,control,subcontrol,periodo,insc_t,hom_t,muj_t,insc_1,hom_1,muj_1,insc_2,hom_2,muj_2,insc_3,hom_3,muj_3,insc_4,hom_4,muj_4,insc_5,hom_5,muj_5,insc_6,hom_6,muj_6,t_doc_p_h,t_doc_p_m,tot_doc_p,puericul_h,puericul_m,tot_puericul,asi_edu_h,asi_edu_m,tot_asi_edu,dirc_cg_h,dirc_cg_m,tot_dcg,dirc_sg_h,dirc_sg_m,tot_dsg,sub_ge_h,sub_ge_m,tot_subge,sub_aca_h,sub_aca_m,tot_subaca,docente_h,docente_m,tot_doc,tutores_h,tutores_m,tot_tutor,d_espfi_h,d_espfi_m,tot_espfi,d_espar_h,d_espar_m,tot_espar,d_espte_h,d_espte_m,tot_espte,d_espid_h,d_espid_m,tot_espid,d_promo_h,d_promo_m,tot_promo,paradoc_h,paradoc_m,tot_paradoc,per_adm_h,per_adm_m,tot_pradm,tot_per,escuelas,gpos_t,gpos_1,gpos_2,gpos_3,gpos_4,gpos_5,gpos_6,gpos_mg,ins_t,ing_t,rei_t,ins_1,ing_1,rei_1,ins_2,ing_2,rei_2,ins_3,ing_3,rei_3,ins_4,ing_4,rei_4,ins_5,ing_5,rei_5,ins_6,ing_6,rei_6,aula_aexi,aula_u_1,aula_u_2,aula_u_3,aula_u_4,aula_u_5,aula_u_6,aula_u_mg,aula_u_t,aula_a_1,aula_a_2,aula_a_3,aula_a_4,aula_a_5,aula_a_6,aula_a_mg,aula_a_t,taller,laborat,cubiculo_e,cubiculo_u,taller_u,egre_hom,egre_muj,egre_tot,regu_hom,regu_muj,regu_tot,doc_1,doc_2,doc_3,doc_4,doc_5,doc_6,doc_mg,doc_tot,tipo_org_docente,tipo_org_alumnos,periodo_escolar
15,MÉXICO,99,TEXCOCO,45,SANTA MARÍA TULANTONGO,AVENIDA AV RIO CHIQUITO,15DPR0527A,PROFR. JUSTO SIERRA,1,MATUTINO,BASICA,PRIMARIA,PRIMARIA GENERAL,NO APLICA,PÚBLICO,FEDERAL TRANSFERIDO,I2020,333,159,174,45,21,24,49,18,31,75,39,36,41,23,18,64,34,30,59,24,35,1,11,12,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,12,2,2,2,2,2,2,0,333,333,0,45,45,0,49,49,0,75,75,0,41,41,0,64,64,0,59,59,0,12,2,2,2,2,2,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,12,COMPLEMENTARIA,COMPLETA,2020-2021
20,OAXACA,16,COICOYÁN DE LAS FLORES,14,CERRO DE AIRE (YUCUTACHI),CALLE CENTRO DE LA LOCALIDAD,20KCC0049G,CURSO COMUNITARIO DE EDUCACION PREESCOLAR INDIGENA,1,MATUTINO,BASICA,PREESCOLAR,PREESCOLAR CONAFE,INDIGENA,PÚBLICO,FEDERAL,I2020,5,2,3,3,1,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,5,5,0,3,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,MULTIGRADO,INCOMPLETA,2020-2021
20,OAXACA,39,HEROICA CIUDAD DE HUAJUAPAN DE LEÓN,1,HEROICA CIUDAD DE HUAJUAPAN DE LEÓN,PROLONGACIÓN DE NAZARET,20DTV0722O,TELESECUNDARIA,1,MATUTINO,BASICA,SECUNDARIA,TELESECUNDARIA,NO APLICA,PÚBLICO,FEDERAL TRANSFERIDO,I2019,58,34,24,12,10,2,27,12,15,19,12,7,0,0,0,0,0,0,0,0,0,3,2,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,7,1,5,2,2,1,0,0,0,0,58,58,0,12,12,0,27,27,0,19,19,0,0,0,0,0,0,0,0,0,0,5,2,2,1,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,14,6,20,0,0,0,2,2,1,0,0,0,0,5,COMPLEMENTARIA,NO APLICA EN ESTE NIVEL,2019-2020
7,CHIAPAS,19,COMITÁN DE DOMÍNGUEZ,1,COMITÁN DE DOMÍNGUEZ,PROLONGACIÓN SEXTA AVENIDA ORIENTE SUR BARRIO YALCHIVOL,07DPR0591T,RICARDO FLORES MAGON,1,MATUTINO,BASICA,PRIMARIA,PRIMARIA GENERAL,NO APLICA,PÚBLICO,FEDERAL TRANSFERIDO,I2020,226,114,112,54,22,32,33,19,14,36,21,15,35,12,23,39,18,21,29,22,7,2,5,7,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,5,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,1,7,2,1,1,1,1,1,0,226,226,0,54,54,0,33,33,0,36,36,0,35,35,0,39,39,0,29,29,0,7,2,1,1,1,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,7,COMPLEMENTARIA,COMPLETA,2020-2021
28,TAMAULIPAS,13,GÜÉMEZ,112,EL RUSIO (MARTÍNEZ),NINGUNO NINGUNO,28KJN0261H,PREESCOLAR COMUNITARIO RURAL,1,MATUTINO,BASICA,PREESCOLAR,PREESCOLAR CONAFE,NO APLICA,PÚBLICO,FEDERAL,I2020,6,2,4,2,1,1,3,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,6,6,0,2,2,0,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,MULTIGRADO,INCOMPLETA,2020-2021
22,QUERÉTARO,13,PEÑAMILLER,10,LOS ÁLAMOS,CALLE CONOCIDO,22DTV0183F,ISAAC NEWTON,1,MATUTINO,BASICA,SECUNDARIA,TELESECUNDARIA,NO APLICA,PÚBLICO,FEDERAL TRANSFERIDO,I2324,37,25,12,13,9,4,10,7,3,14,9,5,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1,1,1,0,0,0,0,37,37,0,13,13,0,10,10,0,14,14,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,1,3,0,0,1,0,0,0,1,2,0,0,0,0,0,7,6,13,2,1,3,0,0,1,0,0,0,1,2,COMPLEMENTARIA,NO APLICA EN ESTE NIVEL,2023-2024
20,OAXACA,273,SAN MIGUEL PERAS,5,EL MANZANITO,CALLE CENTRO,20KCC0226U,CURSO COMUNITARIO DE EDUCACION PREESCOLAR INDIGENA,1,MATUTINO,BASICA,PREESCOLAR,PREESCOLAR CONAFE,INDIGENA,PÚBLICO,FEDERAL,I2223,2,0,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,2,2,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,MULTIGRADO,INCOMPLETA,2022-2023
12,GUERRERO,35,IGUALA DE LA INDEPENDENCIA,1,IGUALA DE LA INDEPENDENCIA,PRIVADA JUAN DE LA BARRERA,12DJN0148D,LA LUZ DEL SABER,1,MATUTINO,BASICA,PREESCOLAR,PREESCOLAR GENERAL,NO APLICA,PÚBLICO,FEDERAL TRANSFERIDO,I2019,210,105,105,70,35,35,72,38,34,68,32,36,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,16,1,9,3,3,3,0,0,0,0,210,210,0,70,70,0,72,72,0,68,68,0,0,0,0,0,0,0,0,0,0,10,3,3,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,9,COMPLEMENTARIA,COMPLETA,2019-2020
7,CHIAPAS,96,TILA,105,NUEVO LIMAR,CALLE NUEVO LIMAR,07EPR0304I,GABRIELA MISTRAL,1,MATUTINO,BASICA,PRIMARIA,PRIMARIA GENERAL,NO APLICA,PÚBLICO,ESTATAL,I2020,198,103,95,34,23,11,40,16,24,29,16,13,37,18,19,22,13,9,36,17,19,3,6,9,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,6,9,0,0,0,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,15,1,9,2,2,1,2,1,1,0,198,198,0,34,34,0,40,40,0,29,29,0,37,37,0,22,22,0,36,36,0,11,2,2,1,2,1,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,1,0,9,COMPLEMENTARIA,COMPLETA,2020-2021
24,SAN LUIS POTOSÍ,9,CERRO DE SAN PEDRO,8,PORTEZUELO,NINGUNO NINGUNO,24DPR1635X,BENITO JUAREZ,1,MATUTINO,BASICA,PRIMARIA,PRIMARIA GENERAL,NO APLICA,PÚBLICO,FEDERAL TRANSFERIDO,I2020,319,159,160,49,17,32,44,24,20,51,27,24,69,35,34,58,32,26,48,24,24,1,16,17,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,16,17,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,20,1,17,2,3,3,3,3,3,0,319,319,0,49,49,0,44,44,0,51,51,0,69,69,0,58,58,0,48,48,0,17,2,3,3,3,3,3,0,17,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,3,0,17,COMPLEMENTARIA,COMPLETA,2020-2021
24,SAN LUIS POTOSÍ,17,GUADALCÁZAR,47,RANCHO NUEVO,NINGUNO NINGUNO,24DPR1152S,FRANCISCO VILLA,1,MATUTINO,BASICA,PRIMARIA,PRIMARIA GENERAL,NO APLICA,PÚBLICO,FEDERAL TRANSFERIDO,I2223,17,8,9,3,1,2,2,2,0,4,3,1,3,0,3,3,2,1,2,0,2,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,17,17,0,3,3,0,2,2,0,4,4,0,3,3,0,3,3,0,2,2,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,UNITARIA,INCOMPLETA,2022-2023
25,SINALOA,12,MAZATLÁN,1,MAZATLÁN,CALLE FELIPE ANGELES,25PJN0052Z,COMUNIDAD EDUCATIVA JONH F. KENNEDY,1,MATUTINO,BASICA,PREESCOLAR,PREESCOLAR GENERAL,NO APLICA,PRIVADO,PARTICULAR,I2020,69,36,33,4,1,3,35,19,16,30,16,14,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,2,5,7,15,1,5,1,2,2,0,0,0,0,69,69,0,4,4,0,35,35,0,30,30,0,0,0,0,0,0,0,0,0,0,5,1,2,2,0,0,0,0,5,1,2,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,5,COMPLEMENTARIA,COMPLETA,2020-2021
28,TAMAULIPAS,41,VICTORIA,205,VEINTIUNO DE MAYO,CALLE EJIDO 21 DE MAYO,28KJN0782P,PREESCOLAR COMUNITARIO RURAL,1,MATUTINO,BASICA,PREESCOLAR,PREESCOLAR CONAFE,NO APLICA,PÚBLICO,FEDERAL,I2020,2,1,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,MULTIGRADO,INCOMPLETA,2020-2021
21,PUEBLA,23,ATZITZINTLA,1,ATZITZINTLA,AVENIDA CUAUHTEMOC,21DJN2318C,CITLALITLAN,1,MATUTINO,BASICA,PREESCOLAR,PREESCOLAR GENERAL,NO APLICA,PÚBLICO,FEDERAL TRANSFERIDO,I2122,31,20,11,2,1,1,20,12,8,9,7,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,31,31,0,2,2,0,20,20,0,9,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,UNITARIA,INCOMPLETA,2021-2022
27,TABASCO,2,CÁRDENAS,14,AZUCENA 3RA. SECCIÓN (EL TRIUNFO),CALLE RANCHERIA AZUCENA TERCERA SECCION -EL TRIUNFO-,27DPR1030E,FRANCISCO I. MADERO,1,MATUTINO,BASICA,PRIMARIA,PRIMARIA GENERAL,NO APLICA,PÚBLICO,FEDERAL TRANSFERIDO,I2020,198,93,105,44,22,22,38,15,23,21,11,10,36,12,24,32,17,15,27,16,11,3,3,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8,1,6,1,1,1,1,1,1,0,198,198,0,44,44,0,38,38,0,21,21,0,36,36,0,32,32,0,27,27,0,6,1,1,1,1,1,1,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,6,COMPLEMENTARIA,COMPLETA,2020-2021
32,ZACATECAS,38,PINOS,274,LAS JABONERAS,CALLE LAS JABONERAS,32KJN0768I,PREESCOLAR COMUNITARIO,1,MATUTINO,BASICA,PREESCOLAR,PREESCOLAR CONAFE,NO APLICA,PÚBLICO,FEDERAL,I2019,2,1,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MULTIGRADO,INCOMPLETA,2019-2020
